"","short_name","Freq","long_name","TAXID","RANK","TAXPATHSN"
"17","132929.0",44,"GCF_900120345.1_PRJEB18024",1871021,"strain","Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Lachnoclostridium_Lachnoclostridiumphocaeense_UnclassifiedLachnoclostridiumphocaeensestrain"
"31","160140.1",44,"GCF_000403495.2_Lach_bact_10-1_V1",1235800,"strain","Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Lachnospiraceaebacterium10-1_UnclassifiedLachnospiraceaebacterium10-1strain"
"65","175333.0",44,"GCF_900157265.1_A7A1-28",837.19,"strain","Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Porphyromonadaceae_Porphyromonas_Porphyromonasgingivalis_UnclassifiedPorphyromonasgingivalisstrain"
"68","175529.1",44,"GCF_900102595.1_IMG-taxon_2623620521_annotated_assembly",460384,"strain","Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Lachnoclostridium_[Clostridium]lavalense_Unclassified[Clostridium]lavalensestrain"
"141","192684.0",44,"GCF_001412315.1_ASM141231v1",821.1,"strain","Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_Bacteroidesvulgatus_UnclassifiedBacteroidesvulgatusstrain"
"294","320224.0",44,"GCF_002549775.1_ASM254977v1",853.5,"strain","Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Faecalibacterium_Faecalibacteriumprausnitzii_UnclassifiedFaecalibacteriumprausnitziistrain"
"332","3563235.0",44,"GCF_001578575.1_ASM157857v1",28116.1,"strain","Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_Bacteroidesovatus_UnclassifiedBacteroidesovatusstrain"
"350","4327881.0",44,"GCF_900086725.1_PRJEB13908",1745713,"strain","Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Bariatricus_Bariatricusmassiliensis_UnclassifiedBariatricusmassiliensisstrain"
"359","4365109.0",44,"GCF_002234575.2_ASM223457v2",208479,"strain","Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Lachnoclostridium_[Clostridium]bolteae_Unclassified[Clostridium]bolteaestrain"
"411","556126.0",44,"GCF_000158335.2_Bact_dorei_5_1_36_D4_V2",556260,"strain","Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_Bacteroidesdorei"
"415","619817.0",44,"GCF_000189615.1_Clos_symb_WAL_14673_V2",742741,"strain","Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Lachnoclostridium_[Clostridium]symbiosum"
"453","denovo1032.1",44,"GCF_900143195.1_501571.5",501571,"strain","Bacteria_Firmicutes_Clostridia_Clostridiales_Clostridiaceae_Butyricicoccus_Butyricicoccuspullicaecorum_UnclassifiedButyricicoccuspullicaecorumstrain"
"480","denovo11903.1",44,"GCF_000466565.1_ASM46656v1",1226324,"strain","Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Blautia_Blautiasp_KLE1732_UnclassifiedBlautiasp_KLE1732strain"
"495","denovo12694.1",44,"GCF_002586945.1_ASM258694v1",853.6,"strain","Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Faecalibacterium_Faecalibacteriumprausnitzii_UnclassifiedFaecalibacteriumprausnitziistrain"
"516","denovo1719.0",44,"GCF_000154205.1_ASM15420v1",411479,"strain","Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_Bacteroidesuniformis"
"548","denovo274.0",44,"GCF_001078435.1_Clos_citr_WAL_19142_V1",742734,"strain","Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Lachnoclostridium_[Clostridium]citroniae"
"693","denovo8808.0",44,"GCF_000154365.1_ASM15436v1",411902,"strain","Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Lachnoclostridium_[Clostridium]bolteae"
"696","denovo883.0",44,"GCF_001953935.1_ASM195393v1",28131.1,"strain","Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Prevotellaceae_Prevotella_Prevotellaintermedia_UnclassifiedPrevotellaintermediastrain"
"28","146564.1",43,"GCF_002201475.1_ASM220147v1",1796620,"strain","Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Acutalibacter_Acutalibactermuris_UnclassifiedAcutalibactermurisstrain"
"151","195123.1",43,"GCF_000154105.1_ASM15410v1",411477,"strain","Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Tannerellaceae_Parabacteroides_Parabacteroidesmerdae"
"234","270448.1",43,"GCF_000154565.1_ASM15456v1",445972,"strain","Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Anaerotruncus_Anaerotruncuscolihominis"
"249","276484.0",43,"GCF_001578555.1_ASM157855v1",820,"strain","Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_Bacteroidesuniformis_UnclassifiedBacteroidesuniformisstrain"
"406","521982.0",43,"GCF_000210575.1_ASM21057v1",717959,"strain","Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Rikenellaceae_Alistipes_Alistipesshahii"
"670","denovo7933.0",43,"GCF_000177015.3_Rumi_bact_D16_V2",552398,"strain","Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_RuminococcaceaebacteriumD16_UnclassifiedRuminococcaceaebacteriumD16strain"
"689","denovo8701.0",43,"GCF_000428565.1_ASM42856v1",1122931,"strain","Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Tannerellaceae_Parabacteroides_Parabacteroidesgordonii"
"13","1135084.1",42,"GCF_000297755.1_Bact_frag_HMW_616_V1",1073388,"strain","Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_Bacteroidesfragilis"
"149","194950.0",42,"GCF_000403335.2_Lach_bact_COE1_V1",1235793,"strain","Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_LachnospiraceaebacteriumCOE1_UnclassifiedLachnospiraceaebacteriumCOE1strain"
"162","210073.0",42,"GCF_001403575.1_Ihuella_massiliensis",1627893,"strain","Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Ruminococcaceaebacteriumcv2_UnclassifiedRuminococcaceaebacteriumcv2strain"
"220","268084.0",42,"GCF_000209445.1_Lach_bact_9_1_43BFAA_V1",658088,"strain","Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Lachnospiraceaebacterium9_1_43BFAA_UnclassifiedLachnospiraceaebacterium9_1_43BFAAstrain"
"326","348376.1",42,"GCF_000154065.1_ASM15406v1",411462,"strain","Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Dorea_Dorealongicatena"
"560","denovo3271.0",42,"GCF_900101315.1_IMG-taxon_2593339257_annotated_assembly",1520805,"strain","Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Blautia_Blautiasp_SF-50_UnclassifiedBlautiasp_SF-50strain"
"572","denovo3780.1",42,"GCF_000234055.1_Prev_hist_F0411_V1",857291,"strain","Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Prevotellaceae_Prevotella_Prevotellahisticola"
"655","denovo7195.0",42,"GCF_000159875.2_Bact_sp_1_1_6_V2",469586,"strain","Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_Bacteroidessp_1_1_6_UnclassifiedBacteroidessp_1_1_6strain"
"669","denovo7795.0",42,"GCF_000261025.1_ASM26102v1",246198,"strain","Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Prevotellaceae_Prevotella_Prevotellaintermedia"
"25","137043.0",41,"GCF_001704645.1_ASM170464v1",1590.5,"strain","Bacteria_Firmicutes_Bacilli_Lactobacillales_Lactobacillaceae_Lactobacillus_Lactobacillusplantarum_UnclassifiedLactobacillusplantarumstrain"
"83","179464.1",41,"GCF_002206085.1_SJD4",1297564,"strain","Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Porphyromonadaceae_Porphyromonas_Porphyromonasgingivalis"
"88","180362.0",41,"GCF_001717125.1_ASM171712v1",1432052.2,"strain","Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Eisenbergiella_Eisenbergiellatayi_UnclassifiedEisenbergiellatayistrain"
"111","185483.0",41,"GCF_000218425.1_Lach_bact_5_1_57FAA",658085,"strain","Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Lachnospiraceaebacterium5_1_57FAA_UnclassifiedLachnospiraceaebacterium5_1_57FAAstrain"
"127","190547.0",41,"GCF_000234155.1_Clos_clos_2_1_49FAA_V1",742735,"strain","Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Lachnoclostridium_[Clostridium]clostridioforme"
"150","195123.0",41,"GCF_000156495.1_ASM15649v1",537006,"strain","Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Tannerellaceae_Parabacteroides_Parabacteroidesjohnsonii"
"182","260752.0",41,"GCF_000371405.1_Clos_clos_CM201_V1",999410,"strain","Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Lachnoclostridium_[Clostridium]clostridioforme"
"183","260756.0",41,"GCF_000242155.1_Lach_bact_7_1_58FAA_V1",658087,"strain","Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Lachnospiraceaebacterium7_1_58FAA_UnclassifiedLachnospiraceaebacterium7_1_58FAAstrain"
"217","267406.1",41,"GCF_000155875.1_ASM15587v1",470146,"strain","Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Coprococcus_Coprococcuscomes"
"265","299171.0",41,"GCF_000156675.1_ASM15667v1",537007,"strain","Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Blautia_Blautiahansenii_BlautiahanseniiDSM20583(genome0)"
"280","3141094.0",41,"GCF_900100465.1_IMG-taxon_2654588146_annotated_assembly",28116,"strain","Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_Bacteroidesovatus_UnclassifiedBacteroidesovatusstrain"
"310","332732.0",41,"GCF_001578635.1_ASM157863v1",329854,"strain","Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_Bacteroidesintestinalis_UnclassifiedBacteroidesintestinalisstrain"
"318","339329.0",41,"GCF_000242315.1_ASM24231v1",861454,"strain","Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Lachnospiraceaebacteriumoraltaxon082"
"447","denovo10014.0",41,"GCF_000145035.1_ASM14503v1",515622,"strain","Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Butyrivibrio_Butyrivibrioproteoclasticus"
"508","denovo1369.0",41,"GCF_001546565.2_ASM154656v2",28125,"strain","Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Prevotellaceae_Prevotella_Prevotellabivia_UnclassifiedPrevotellabiviastrain"
"557","denovo3118.0",41,"GCF_000026525.1_ASM2652v1",568704,"strain","Bacteria_Firmicutes_Bacilli_Lactobacillales_Lactobacillaceae_Lactobacillus_Lactobacillusrhamnosus"
"574","denovo3878.0",41,"GCF_900167355.1_IMG-taxon_2585428082_annotated_assembly",36874,"strain","Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Porphyromonadaceae_Porphyromonas_Porphyromonascangingivalis_UnclassifiedPorphyromonascangingivalisstrain"
"582","denovo4139.0",41,"GCF_001938785.1_ASM193878v1",28112.3,"strain","Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Tannerellaceae_Tannerella_Tannerellaforsythia_UnclassifiedTannerellaforsythiastrain"
"591","denovo4456.0",41,"GCF_000312305.1_ASM31230v1",1197728,"strain","Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Prevotellaceae_Prevotella_Prevotellaconceptionensis"
"634","denovo5982.0",41,"GCF_000154305.1_ASM15430v1",411490,"strain","Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Anaerostipes_Anaerostipescaccae"
"683","denovo8373.1",41,"GCF_000700805.1_ASM70080v1",997829,"strain","Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Porphyromonadaceae_Porphyromonas_Porphyromonassp_KLE1280_UnclassifiedPorphyromonassp_KLE1280strain"
"695","denovo8828.0",41,"GCF_000185545.1_ASM18554v1",665951,"strain","Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Lachnospiraceaebacterium8_1_57FAA_UnclassifiedLachnospiraceaebacterium8_1_57FAAstrain"
"316","336277.0",40,"GCF_000156035.2_ASM15603v2",500632,"strain","Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Tyzzerella_Tyzzerellanexilis"
"372","4390319.1",40,"GCF_000273195.1_Bact_ovat_CL02T12C04_V1",997885,"strain","Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_Bacteroidesovatus"
"412","575041.0",40,"GCF_000154465.1_ASM15446v1",445970,"strain","Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Rikenellaceae_Alistipes_Alistipesputredinis"
"643","denovo6551.1",40,"GCF_001815315.1_ASM181531v1",1739520,"strain","Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Prevotellaceae_Prevotella_Prevotellasp_HMSC077E08_UnclassifiedPrevotellasp_HMSC077E08strain"
"32","161277.0",39,"GCF_000403315.2_Lach_bact_A2_V1",397290,"strain","Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_LachnospiraceaebacteriumA2_UnclassifiedLachnospiraceaebacteriumA2strain"
"55","172161.0",39,"GCF_002180435.1_14207_7_48",1806509,"strain","Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Fusicatenibacter_Fusicatenibactersp_2789STDY5834925_UnclassifiedFusicatenibactersp_2789STDY5834925strain"
"77","177917.0",39,"GCF_000270225.1_ASM27022v1",1030843,"strain","Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Porphyromonadaceae_Porphyromonas_Porphyromonasgingivalis"
"121","188610.0",39,"GCF_000153905.1_ASM15390v1",411459,"strain","Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Blautia_Blautiaobeum"
"169","231021.0",39,"GCF_001486665.1_Fournierella_massiliensis",1650663,"strain","Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Fournierella_Fournierellamassiliensis_UnclassifiedFournierellamassiliensisstrain"
"199","263171.0",39,"GCF_001717135.1_ASM171713v1",1432052.1,"strain","Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Eisenbergiella_Eisenbergiellatayi_UnclassifiedEisenbergiellatayistrain"
"259","291090.0",39,"GCF_000307395.1_Para_gold_CL02T12C30_V1",999418,"strain","Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Tannerellaceae_Parabacteroides_Parabacteroidesgoldsteinii"
"285","317389.0",39,"GCF_001881565.1_ASM188156v1",1432052,"strain","Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Eisenbergiella_Eisenbergiellatayi_UnclassifiedEisenbergiellatayistrain"
"336","3600504.0",39,"GCF_000403195.1_Bact_mass_dnLKV3_V1",671267,"strain","Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_Bacteroidessartorii_UnclassifiedBacteroidessartoriistrain"
"367","4380294.0",39,"GCF_001078425.1_Clos_bolt_WAL_14578_V1",742732,"strain","Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Lachnoclostridium_[Clostridium]bolteae"
"368","4381553.0",39,"GCF_000273725.1_Bact_cacc_CL03T12C61_V1",997873,"strain","Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_Bacteroidescaccae"
"521","denovo1832.0",39,"GCF_000297695.1_Bact_frag_HMW_610_V1",1073386,"strain","Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_Bacteroidesfragilis"
"563","denovo329.0",39,"GCF_000234115.1_Prevotella_sp_F0323_V1",679199,"strain","Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Prevotellaceae_Alloprevotella_Alloprevotellarava"
"595","denovo4507.0",39,"GCF_001659745.1_ASM165974v1",1590.3,"strain","Bacteria_Firmicutes_Bacilli_Lactobacillales_Lactobacillaceae_Lactobacillus_Lactobacillusplantarum_UnclassifiedLactobacillusplantarumstrain"
"617","denovo532.0",39,"GCF_002254255.1_ASM225425v1",1598,"strain","Bacteria_Firmicutes_Bacilli_Lactobacillales_Lactobacillaceae_Lactobacillus_Lactobacillusreuteri_UnclassifiedLactobacillusreuteristrain"
"650","denovo6995.0",39,"GCF_900168235.1_IMG-taxon_2606217738_annotated_assembly",1898203.1,"strain","Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Lachnospiraceaebacterium_UnclassifiedLachnospiraceaebacteriumstrain"
"698","denovo8991.0",39,"GCF_000185605.1_ASM18560v1",665953,"strain","Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_Bacteroideseggerthii"
"703","denovo9225.0",39,"GCF_000218445.1_Lach_bact_1_1_57FAA_V1",658081,"strain","Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Lachnospiraceaebacterium1_1_57FAA_UnclassifiedLachnospiraceaebacterium1_1_57FAAstrain"
"706","denovo9316.0",39,"GCF_000273235.1_Bact_saly_CL02T12C01_V1",997887,"strain","Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_Bacteroidessalyersiae"
"711","denovo9503.0",39,"GCF_001547855.1_ASM154785v1",1307833,"strain","Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Tannerellaceae_Tannerella_Tannerellaforsythia"
"11","1109559.0",38,"GCF_000185525.1_ASM18552v1",658089,"strain","Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Lachnospiraceaebacterium5_1_63FAA_UnclassifiedLachnospiraceaebacterium5_1_63FAAstrain"
"52","170328.1",38,"GCF_000157995.1_ASM15799v1",545696,"strain","Bacteria_Firmicutes_Erysipelotrichia_Erysipelotrichales_Erysipelotrichaceae_Holdemania_Holdemaniafiliformis"
"132","191616.0",38,"GCF_900167005.1_IMG-taxon_2585428076_annotated_assembly",1121128,"strain","Bacteria_Firmicutes_Clostridia_Clostridiales_Clostridiaceae_Butyricicoccus_Butyricicoccuspullicaecorum"
"157","197696.0",38,"GCF_900169975.1_PRJEB20005",1871015,"strain","Bacteria_Firmicutes_Clostridia_Clostridiales_Pseudoflavonifractor_Pseudoflavonifractorsp_Marseille-P3106_UnclassifiedPseudoflavonifractorsp_Marseille-P3106strain"
"205","263992.0",38,"GCF_000371505.1_Clos_clos_90A8_V1",999408,"strain","Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Lachnoclostridium_[Clostridium]clostridioforme"
"233","270448.0",38,"GCF_000403395.2_Anae_bact_G3_V1",1235835,"strain","Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Anaerotruncus_Anaerotruncussp_G3(2012)_UnclassifiedAnaerotruncussp_G3(2012)strain"
"274","308734.0",38,"GCF_900104675.1_PRJEB16361",1871018,"strain","Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Angelakisella_Angelakisellamassiliensis_UnclassifiedAngelakisellamassiliensisstrain"
"276","312322.0",38,"GCF_000769385.1_ASM76938v1",111105.1,"strain","Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Porphyromonadaceae_Porphyromonas_Porphyromonasgulae_UnclassifiedPorphyromonasgulaestrain"
"283","315496.1",38,"GCF_000424085.1_ASM42408v1",1280691,"strain","Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Blautia_Blautiawexlerae"
"393","4455308.0",38,"GCF_000218385.1_Lach_bact_1_4_56FAA_V1",658655,"strain","Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Lachnospiraceaebacterium1_4_56FAA_UnclassifiedLachnospiraceaebacterium1_4_56FAAstrain"
"464","denovo10694.0",38,"GCF_000159995.1_ASM15999v1",626522,"strain","Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Prevotellaceae_Alloprevotella_Alloprevotellatannerae"
"497","denovo12746.0",38,"GCF_000403295.1_Lach_bact_M18-1_V1",1235792,"strain","Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_LachnospiraceaebacteriumM18-1_UnclassifiedLachnospiraceaebacteriumM18-1strain"
"531","denovo2227.0",38,"GCF_000430565.1_ASM43056v1",1122992,"strain","Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Prevotellaceae_Prevotella_Prevotellatimonensis"
"533","denovo2276.0",38,"GCF_000371665.1_Clos_bolt_90B7_V1",997896,"strain","Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Lachnoclostridium_[Clostridium]bolteae"
"534","denovo2276.1",38,"GCF_000424545.1_ASM42454v1",1280685,"strain","Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Butyrivibrio_Butyrivibriosp_NC3005_UnclassifiedButyrivibriosp_NC3005strain"
"537","denovo2333.0",38,"GCF_000403215.1_Lach_bact_A4_V1",397291,"strain","Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_LachnospiraceaebacteriumA4_UnclassifiedLachnospiraceaebacteriumA4strain"
"584","denovo4266.0",38,"GCF_000205165.1_ASM20516v1",762982,"strain","Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Prevotellaceae_Paraprevotella_Paraprevotellaxylaniphila"
"645","denovo6615.1",38,"GCF_000439125.1_ASM43912v1",1121114.1,"strain","Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Blautia_Blautiaproducta_BlautiaproductaATCC27340=DSM2950(genome1)"
"229","269378.0",37,"GCF_002549975.1_ASM254997v1",853.3,"strain","Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Faecalibacterium_Faecalibacteriumprausnitzii_UnclassifiedFaecalibacteriumprausnitziistrain"
"256","289315.0",37,"GCF_000371485.1_Clos_clos_90B1_V1",999409,"strain","Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Lachnoclostridium_[Clostridium]clostridioforme"
"258","289627.0",37,"GCF_002079925.1_ASM207992v1",1624.2,"strain","Bacteria_Firmicutes_Bacilli_Lactobacillales_Lactobacillaceae_Lactobacillus_Lactobacillussalivarius_UnclassifiedLactobacillussalivariusstrain"
"305","327900.0",37,"GCF_900167555.1_IMG-taxon_2590828806_annotated_assembly",745368,"strain","Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Gemmiger_Gemmigerformicilis_UnclassifiedGemmigerformicilisstrain"
"307","330296.0",37,"GCF_900111185.1_IMG-taxon_2623620520_annotated_assembly",831,"strain","Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Butyrivibrio_Butyrivibriofibrisolvens_UnclassifiedButyrivibriofibrisolvensstrain"
"385","4444771.0",37,"GCF_000225685.1_Erys_bact_2_2_44A_V1",457422,"strain","Bacteria_Firmicutes_Erysipelotrichia_Erysipelotrichales_Erysipelotrichaceae_Erysipelotrichaceaebacterium2_2_44A_UnclassifiedErysipelotrichaceaebacterium2_2_44Astrain"
"388","4447072.1",37,"GCF_000157915.1_ASM15791v1",547042,"strain","Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_Bacteroidescoprophilus"
"455","denovo10393.1",37,"GCF_900167385.1_IMG-taxon_2585428083_annotated_assembly",28136,"strain","Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Prevotellaceae_Prevotella_Prevotellaoulorum_UnclassifiedPrevotellaoulorumstrain"
"459","denovo10472.0",37,"GCF_900155865.1_PRJEB18812",1841855,"strain","Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_Bacteroidessp_Marseille-P2653_UnclassifiedBacteroidessp_Marseille-P2653strain"
"474","denovo11206.0",37,"GCF_000162455.1_ASM16245v1",575611,"strain","Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Prevotellaceae_Prevotella_Prevotellabuccae"
"581","denovo4118.1",37,"GCF_000012845.1_ASM1284v1",435591,"strain","Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Tannerellaceae_Parabacteroides_Parabacteroidesdistasonis"
"594","denovo4463.0",37,"GCF_001721925.1_ASM172192v1",47715,"strain","Bacteria_Firmicutes_Bacilli_Lactobacillales_Lactobacillaceae_Lactobacillus_Lactobacillusrhamnosus_UnclassifiedLactobacillusrhamnosusstrain"
"625","denovo5712.0",37,"GCF_000190535.1_ASM19053v1",709991,"strain","Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Odoribacteraceae_Odoribacter_Odoribactersplanchnicus"
"702","denovo9105.0",37,"GCF_900155425.1_PRJEB18759",1750560,"strain","Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Tannerellaceae_Parabacteroides_Parabacteroidessp_SN4_UnclassifiedParabacteroidessp_SN4strain"
"67","175529.0",36,"GCF_000424525.1_ASM42452v1",1280684,"strain","Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Butyrivibrio_Butyrivibriosp_FCS006_UnclassifiedButyrivibriosp_FCS006strain"
"144","193680.0",36,"GCF_002221555.2_ASM222155v2",1532,"strain","Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Blautia_Blautiacoccoides_UnclassifiedBlautiacoccoidesstrain"
"209","264225.1",36,"GCF_000189595.1_Clos_symb_WAL_14163_V1",742740,"strain","Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Lachnoclostridium_[Clostridium]symbiosum"
"245","273954.0",36,"GCF_900100545.1_IMG-taxon_2651870321_annotated_assembly",1855344,"strain","Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Pseudobutyrivibrio_Pseudobutyrivibriosp_49_UnclassifiedPseudobutyrivibriosp_49strain"
"275","310407.0",36,"GCF_000424565.1_ASM42456v1",1280703,"strain","Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Butyrivibrio_Butyrivibriofibrisolvens"
"293","319702.0",36,"GCF_900141825.1_IMG-taxon_2585428087_annotated_assembly",1123012,"strain","Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Pseudobutyrivibrio_Pseudobutyrivibrioxylanivorans"
"301","324985.0",36,"GCF_000423965.1_ASM42396v1",1280667,"strain","Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Butyrivibrio_Butyrivibriosp_VCB2001_UnclassifiedButyrivibriosp_VCB2001strain"
"313","3327894.1",36,"GCF_001535595.1_ASM153559v1",246787.1,"strain","Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_Bacteroidescellulosilyticus_UnclassifiedBacteroidescellulosilyticusstrain"
"335","3588390.0",36,"GCF_000403235.1_Bact_vulg_dnLKV7_V1",1235786,"strain","Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_Bacteroidesvulgatus"
"341","392918.0",36,"GCF_000519985.1_ASM51998v1",1045012,"strain","Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Ruminiclostridium_[Clostridium]clariflavum"
